,Gender,Customer Type,Age,Type of Travel,Class,Inflight wifi service,Ease of Online booking,Food and drink,Seat comfort,On-board service,Baggage handling,Checkin service,Inflight service,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
0,Female,Loyal Customer,52,Business travel,Eco,5,3,3,3,5,5,2,5,50,44,satisfied
1,Female,Loyal Customer,36,Business travel,Business,1,3,5,5,4,4,3,4,0,0,satisfied
2,Male,disloyal Customer,20,Business travel,Eco,2,2,2,2,4,3,2,2,0,0,neutral or dissatisfied
3,Male,Loyal Customer,44,Business travel,Business,0,0,3,4,1,1,3,1,0,6,satisfied
4,Female,Loyal Customer,49,Business travel,Eco,2,4,4,2,2,2,4,2,0,20,satisfied
5,Male,Loyal Customer,16,Business travel,Eco,3,3,5,3,4,1,1,2,0,0,satisfied
6,Female,Loyal Customer,77,Business travel,Business,5,5,3,5,5,5,4,5,0,0,satisfied
7,Female,Loyal Customer,43,Business travel,Business,2,2,4,5,4,4,5,4,77,65,satisfied
8,Male,Loyal Customer,47,Business travel,Eco,5,2,5,5,2,5,3,3,1,0,satisfied
9,Female,Loyal Customer,46,Business travel,Business,2,2,3,4,4,4,5,4,28,14,satisfied
10,Female,Loyal Customer,47,Business travel,Eco,4,1,5,5,3,3,1,3,29,19,satisfied
11,Female,Loyal Customer,33,Business travel,Business,2,5,1,4,2,2,3,2,18,7,neutral or dissatisfied
12,Female,Loyal Customer,46,Business travel,Business,5,5,4,5,5,5,5,5,0,0,satisfied
13,Female,Loyal Customer,60,Business travel,Business,1,4,5,4,5,5,3,5,117,113,satisfied
14,Female,Loyal Customer,52,Business travel,Business,2,2,5,4,4,4,3,4,10,0,satisfied
15,Male,Loyal Customer,50,Personal Travel,Eco,3,0,2,2,4,4,4,5,5,2,neutral or dissatisfied
16,Female,Loyal Customer,31,Business travel,Eco,2,5,2,2,4,3,4,3,2,0,neutral or dissatisfied
17,Male,Loyal Customer,52,Personal Travel,Eco Plus,5,5,4,4,3,5,4,5,0,0,satisfied
18,Female,Loyal Customer,43,Personal Travel,Eco,3,3,4,5,5,5,4,5,0,0,neutral or dissatisfied
19,Female,Loyal Customer,50,Business travel,Business,5,5,4,4,4,4,5,4,8,0,satisfied
20,Male,Loyal Customer,60,Business travel,Business,4,4,2,5,5,5,5,5,21,49,satisfied
21,Male,Loyal Customer,43,Personal Travel,Eco,3,3,2,2,4,4,4,5,0,0,neutral or dissatisfied
22,Male,Loyal Customer,55,Personal Travel,Eco,1,4,4,4,1,2,4,3,0,0,neutral or dissatisfied
23,Male,Loyal Customer,25,Business travel,Business,4,4,4,4,1,3,1,5,0,0,satisfied
24,Female,disloyal Customer,30,Business travel,Eco,4,5,2,2,3,3,4,4,0,0,neutral or dissatisfied
25,Male,Loyal Customer,62,Personal Travel,Eco,3,3,2,2,3,5,4,4,0,0,neutral or dissatisfied
26,Male,Loyal Customer,24,Business travel,Business,4,4,2,2,5,5,5,4,0,0,satisfied
27,Female,Loyal Customer,22,Business travel,Eco,4,1,4,4,1,1,1,5,3,13,satisfied
28,Male,Loyal Customer,44,Business travel,Business,3,3,5,5,5,5,5,5,0,0,satisfied
29,Male,Loyal Customer,51,Business travel,Eco,4,3,4,4,3,3,3,4,0,0,neutral or dissatisfied
30,Male,Loyal Customer,43,Personal Travel,Business,1,1,1,4,3,5,4,3,0,0,neutral or dissatisfied
31,Female,Loyal Customer,56,Business travel,Eco,2,3,5,5,2,2,2,2,0,0,satisfied
32,Male,disloyal Customer,41,Business travel,Eco,2,2,5,5,4,3,1,4,0,0,neutral or dissatisfied
33,Male,Loyal Customer,22,Personal Travel,Eco,4,4,5,5,5,4,4,4,40,68,neutral or dissatisfied
34,Female,Loyal Customer,53,Business travel,Eco,5,2,3,2,5,5,2,5,0,1,satisfied
35,Male,Loyal Customer,12,Personal Travel,Eco,3,3,1,1,3,5,4,4,80,70,neutral or dissatisfied
36,Female,Loyal Customer,39,Business travel,Business,3,3,2,5,4,4,4,4,10,12,satisfied
37,Female,Loyal Customer,55,Business travel,Business,1,1,3,4,5,5,3,5,73,68,satisfied
38,Female,disloyal Customer,32,Business travel,Business,4,4,2,4,4,4,3,5,0,10,neutral or dissatisfied
39,Female,Loyal Customer,40,Personal Travel,Eco,1,1,5,5,3,5,5,4,4,0,neutral or dissatisfied
40,Female,disloyal Customer,42,Business travel,Business,3,3,4,4,3,5,5,5,0,0,neutral or dissatisfied
41,Male,disloyal Customer,24,Business travel,Eco,4,4,2,2,4,3,1,5,0,4,satisfied
42,Male,Loyal Customer,22,Business travel,Business,3,3,3,3,5,3,3,2,116,177,neutral or dissatisfied
43,Female,Loyal Customer,28,Business travel,Business,1,1,4,4,5,5,5,4,0,3,satisfied
44,Female,Loyal Customer,36,Business travel,Eco Plus,2,3,2,2,1,3,4,4,59,55,neutral or dissatisfied
45,Female,Loyal Customer,62,Business travel,Eco,5,1,4,1,5,5,5,5,92,90,satisfied
46,Female,Loyal Customer,60,Business travel,Business,2,3,3,4,5,5,5,5,0,0,satisfied
47,Female,Loyal Customer,59,Personal Travel,Eco,2,2,3,4,5,4,1,5,4,2,neutral or dissatisfied
48,Female,Loyal Customer,49,Business travel,Business,4,3,2,4,5,5,5,5,0,4,satisfied
49,Female,Loyal Customer,44,Personal Travel,Eco,2,2,4,3,4,4,2,4,0,0,neutral or dissatisfied
50,Female,Loyal Customer,58,Personal Travel,Eco Plus,3,2,3,5,1,1,5,1,0,0,neutral or dissatisfied
51,Male,disloyal Customer,24,Business travel,Business,4,4,2,2,5,5,3,5,20,32,satisfied
52,Female,Loyal Customer,53,Business travel,Eco,4,2,3,4,4,4,3,4,17,0,satisfied
53,Male,Loyal Customer,56,Business travel,Eco,2,4,2,2,2,3,3,3,0,0,neutral or dissatisfied
54,Female,Loyal Customer,30,Business travel,Business,3,4,5,5,4,4,3,5,0,0,satisfied
55,Male,disloyal Customer,27,Business travel,Business,3,3,2,2,2,3,3,2,30,46,neutral or dissatisfied
56,Male,Loyal Customer,27,Business travel,Business,3,3,5,5,4,1,1,1,0,0,satisfied
57,Female,Loyal Customer,67,Personal Travel,Eco,3,3,2,5,3,3,3,3,0,0,neutral or dissatisfied
58,Female,Loyal Customer,32,Personal Travel,Eco,3,3,4,5,2,4,5,3,3,4,neutral or dissatisfied
59,Male,disloyal Customer,36,Business travel,Eco,2,2,1,1,4,4,1,3,0,0,neutral or dissatisfied
60,Male,Loyal Customer,44,Business travel,Business,3,3,5,5,4,4,4,4,66,57,satisfied
61,Female,Loyal Customer,70,Personal Travel,Eco,1,1,2,5,5,5,4,5,0,0,neutral or dissatisfied
62,Female,Loyal Customer,55,Personal Travel,Eco,3,3,4,4,5,5,4,5,0,3,neutral or dissatisfied
63,Male,Loyal Customer,66,Business travel,Eco,4,1,4,4,3,3,2,5,9,6,satisfied
64,Female,Loyal Customer,19,Business travel,Business,5,5,3,3,5,3,1,2,0,0,satisfied
65,Female,Loyal Customer,53,Personal Travel,Eco Plus,1,1,4,5,4,4,5,4,6,0,neutral or dissatisfied
66,Male,Loyal Customer,22,Business travel,Business,2,2,2,2,4,2,2,4,0,0,neutral or dissatisfied
67,Female,Loyal Customer,69,Personal Travel,Eco,2,2,4,3,5,5,3,5,14,0,neutral or dissatisfied
68,Female,Loyal Customer,42,Business travel,Business,5,5,5,4,5,5,4,5,49,47,satisfied
69,Female,Loyal Customer,41,Business travel,Business,2,2,2,5,4,4,5,4,44,40,satisfied
70,Female,Loyal Customer,53,Personal Travel,Business,3,3,3,5,1,1,4,1,3,0,neutral or dissatisfied
71,Male,Loyal Customer,35,Business travel,Business,3,2,2,3,3,3,3,3,0,0,neutral or dissatisfied
72,Female,Loyal Customer,54,Personal Travel,Business,3,3,2,5,2,2,4,2,0,0,neutral or dissatisfied
73,Male,Loyal Customer,44,Business travel,Business,3,2,2,4,4,4,3,4,5,24,satisfied
74,Female,disloyal Customer,26,Business travel,Eco Plus,1,2,4,3,3,1,1,4,0,0,neutral or dissatisfied
75,Female,Loyal Customer,44,Personal Travel,Eco,2,2,2,4,5,5,3,5,0,0,neutral or dissatisfied
76,Female,disloyal Customer,24,Business travel,Eco,2,3,5,5,4,5,4,5,28,27,neutral or dissatisfied
77,Female,Loyal Customer,54,Personal Travel,Eco,2,2,4,5,5,5,5,5,0,0,neutral or dissatisfied
78,Male,Loyal Customer,42,Business travel,Eco Plus,2,2,2,2,4,3,1,2,0,0,neutral or dissatisfied
79,Male,disloyal Customer,36,Business travel,Eco,1,1,1,1,1,3,1,2,0,0,neutral or dissatisfied
80,Female,Loyal Customer,61,Business travel,Business,2,3,1,5,3,3,4,3,24,20,satisfied
81,Female,Loyal Customer,50,Personal Travel,Eco,2,2,4,5,2,2,3,2,0,0,neutral or dissatisfied
82,Male,Loyal Customer,27,Business travel,Business,3,3,5,5,4,4,5,2,44,52,satisfied
83,Male,Loyal Customer,55,Business travel,Business,3,5,4,2,3,3,1,3,1,0,neutral or dissatisfied
84,Male,disloyal Customer,21,Business travel,Eco,2,1,1,1,4,3,4,3,7,0,neutral or dissatisfied
85,Female,Loyal Customer,31,Personal Travel,Business,2,2,5,5,2,3,2,4,5,0,neutral or dissatisfied
86,Female,disloyal Customer,37,Business travel,Eco,1,1,1,1,1,3,4,3,24,20,neutral or dissatisfied
87,Female,Loyal Customer,50,Business travel,Business,1,5,2,4,5,5,4,5,9,0,satisfied
88,Female,Loyal Customer,21,Personal Travel,Eco,1,1,3,3,5,5,4,5,9,17,neutral or dissatisfied
89,Female,Loyal Customer,53,Business travel,Eco,1,0,1,3,4,4,4,4,0,0,neutral or dissatisfied
90,Male,Loyal Customer,45,Business travel,Business,3,3,3,4,5,5,3,5,0,11,satisfied
91,Female,disloyal Customer,42,Business travel,Eco,3,3,5,5,5,3,5,4,0,34,neutral or dissatisfied
92,Male,Loyal Customer,59,Business travel,Business,3,3,3,4,4,4,4,4,0,0,satisfied
93,Female,Loyal Customer,54,Business travel,Eco,2,4,5,3,2,2,4,2,83,95,neutral or dissatisfied
94,Female,Loyal Customer,46,Business travel,Business,1,1,2,4,4,4,5,4,5,0,satisfied
95,Female,Loyal Customer,52,Personal Travel,Eco Plus,3,3,2,4,2,2,3,2,0,0,neutral or dissatisfied
96,Female,Loyal Customer,38,Personal Travel,Eco,2,2,5,5,5,4,5,5,0,0,neutral or dissatisfied
97,Male,Loyal Customer,35,Business travel,Business,3,3,1,3,4,4,3,4,0,0,satisfied
98,Female,Loyal Customer,41,Personal Travel,Eco,2,2,4,4,1,4,1,4,0,0,neutral or dissatisfied
99,Female,disloyal Customer,40,Business travel,Business,2,2,4,4,3,3,3,5,0,0,neutral or dissatisfied
100,Female,disloyal Customer,36,Business travel,Eco,2,2,4,4,1,2,4,2,13,0,neutral or dissatisfied
101,Male,Loyal Customer,67,Personal Travel,Eco,2,2,2,2,5,4,5,5,0,0,neutral or dissatisfied
102,Female,Loyal Customer,38,Personal Travel,Eco,4,4,5,5,2,4,4,4,5,0,satisfied
103,Female,Loyal Customer,50,Personal Travel,Eco,3,3,5,5,5,5,3,5,0,0,neutral or dissatisfied
104,Male,Loyal Customer,50,Business travel,Business,5,5,2,4,2,2,3,2,0,0,satisfied
105,Male,Loyal Customer,54,Business travel,Business,5,3,5,5,3,3,4,3,62,66,satisfied
106,Male,Loyal Customer,56,Business travel,Business,4,4,4,4,4,4,3,4,117,113,satisfied
107,Male,Loyal Customer,38,Personal Travel,Eco,3,3,2,2,3,4,4,3,0,2,neutral or dissatisfied
108,Female,Loyal Customer,7,Personal Travel,Eco,3,3,2,2,4,4,5,5,16,13,neutral or dissatisfied
